date,userName,review,rating,review_classification,review_category
2024-04-04 15:52:06,kathhh?,"It’s a really useful app, but I think LinkedIn must consider about Persona verification, not everyone has an NFC enabled passport, and that is truly disappointing since they are not able to verify their profile on LinkedIn. I suggest for other verification method other than an NFC passport. I only have a physical passport which is definitively not an NFC enabled passport. The point of the verification is to check whether our name matches the LinkedIn profile anyway, so why can’t people use their ID Card or other methods?",1,dissatisfied,general_satisfaction_recommendation
2024-04-04 07:19:28,Aldy131,"It is very difficult to log in to this application using email and password, the captcha is difficult to solve and others!",1,dissatisfied,usability_user_experience
2024-03-31 04:00:14,No.Heartt,"Kindly improve on filtering scam account, thanks.",3,undetermined,features_functionality
2024-03-20 15:10:03,ye rsik,"masa captchanya missing terus sih padahal udah bener milihnya, plis lah jangan mempersulit hidup orang anjir laaahhh",1,dissatisfied,uncategorized
2024-03-15 10:18:18,indah camelia,"seharusnya postingan bisa di arsipkan jika tidak ingin ditampilkan sementara, tambahkan fitur untuk arsip postingan",4,satisfied,uncategorized
2024-03-15 09:47:55,Citra123456,"I cannot sign in to my account on my device. Continuously asking for verification by click way up picture. I already did bunch of times and the pic I clicked was correct still cant sign in. 

I tried to ask help from customer service of Linked in but I had to sign in first. It means that I had to deal with the verification picture way up again and again. Very funny",4,satisfied,usability_user_experience
2024-03-06 03:45:55,jajajzUu,tiap mau download harus security check dan muncuk gagal terus,1,dissatisfied,uncategorized
2024-03-05 08:08:42,beta443,Bikin akun ribet banget captchanya nyusahin tolong diperbaikin saya manusia bukan robot,1,dissatisfied,uncategorized
2024-02-21 11:26:29,Ayususmita,Always have problem when setting location,1,dissatisfied,uncategorized
2024-02-19 15:21:28,fix ur aplication,"aplikasi jelek bgt, yakali abis update akun ke logout sendiri. mana login ulangnya repot bgt harus verif bbrp kali, pas dimasukin kodenya malah muter2 loading gajelas, dicoba lagi malah dibilang terlalu banyak masukin nomor alias aplikasi dongo",2,dissatisfied,usability_user_experience
2024-02-19 02:05:00,Apux51,Experiencing an unclear account suspension was incredibly frustrating. The lack of transparency regarding the reason behind the suspension and the absence of clear instructions on how to proceed left me feeling confused and disheartened. It would be beneficial for the platform to improve communication and provide more detailed explanations for such actions to ensure a smoother experience for users.,1,dissatisfied,customer_support_communication
2024-02-18 02:02:38,abixbsk nslcnskxnakxb,"oh god why is so hardd to verification, i just want to login my account AND THE CAPTCHA ALWAYS SAYS SOMETHING WRONG??!! and i cant login till right now",1,dissatisfied,usability_user_experience
2024-02-16 16:28:29,MaryYuan15,Even though I am 100% human. I can not log in and always told to go through verification that I completed and it infinitely looping in the verification page.,1,dissatisfied,usability_user_experience
2024-02-16 13:26:57,kayla anandhiya,I lose count on how many time I did the captcha verification to log to linkedin please fix this. This is not a one time thing problem I experienced this A LOT. So inefficient and time-wasting.,2,dissatisfied,uncategorized
2024-02-13 04:53:36,joo_nath,"Alright, you can’t possibly blame iPhone 13 here, especially telling us to update the iOS cause I bet it is not the problem. The app is a complete garbage. Tried to browse Homepage but it wasn’t smooth. It’s as if something is running/fetching big stuff in the background. And then I go to Notification tab, scrolling down only to find the app CTD (crash to desktop in case you guys don’t understand). Just what is going on here? Whatever new fancy framework you guys were using right now, just dump it right away! Go back to your prehistoric jungle of development.",2,dissatisfied,performance_stability
2024-02-06 07:39:41,wkshak,Verifikasi gambar badak bikin emosi.. salah mulu perasaan yg bener gimana?,1,dissatisfied,uncategorized
2024-01-19 02:56:57,Silmi2608,What should I do with this one?  Please help,3,undetermined,customer_support_communication
2024-01-18 16:58:20,Sieraromeo,Verifikasinyaaa ribet bangettt 👎👎👎👎👎sudah di ulang berkali kali tetap salah bikin emosi aja,1,dissatisfied,uncategorized
2024-01-18 14:04:34,RSX120623,Rubbish apps crash after update,1,dissatisfied,performance_stability
2024-01-18 11:52:56,Kruggerrr,"Hey dev team, i just open apps and then found bug in home screen is half blank (black). How to report / share my screen shoot?.
I got UI glitch, when scroll down the profile picture and searchbar in top of transparant screen.",3,undetermined,performance_stability
2024-01-18 06:46:39,Agung Widi,Done verification but status saying missing captcha user all the time. Please fix.,1,dissatisfied,uncategorized
2024-01-18 04:38:37,Arira24,I can’t login due the captcha verification. The verification was always failed even though I filled the correct answer.,1,dissatisfied,usability_user_experience
2024-01-14 13:22:38,ncsojdddjdjdkdk,"buat apa kau bikin verif badak badak tu anjing,udh jawab bener malah diomong salah",1,dissatisfied,uncategorized
2024-01-10 15:52:55,kaesken@,terlalu sulit buat login,1,dissatisfied,usability_user_experience
2024-01-10 11:11:20,Ajit jethwaney 9823022983,I want to delete application,1,dissatisfied,uncategorized
2024-01-10 05:30:06,rrjohari,stuck diverifikasi chapta?? ini harus gimana,1,dissatisfied,uncategorized
2024-01-09 07:45:10,clusterid,Troll with re captcha,3,undetermined,uncategorized
2024-01-08 07:09:42,some insta editors,it keeps saying Your noCAPTCHA user response code is missing or invalid.,2,dissatisfied,customer_support_communication
2024-01-08 04:03:50,diyamarsari,"I can't login to my account, I have tried so many times and it's not working.The user name and password are correct, and i’ve answered all the verification correctly, but it's doesn't work out.",1,dissatisfied,usability_user_experience
2024-01-02 10:26:15,Erdwinky,Tidak bisa verifikasi saat login,1,dissatisfied,usability_user_experience
2023-12-27 17:19:21,Azrael1693,Wth it keep asking me to update while my phone can’t download the latest version help 😭,3,undetermined,customer_support_communication
2023-12-27 17:05:33,Ivan M Razi,"Please fix this bug, kinda disturbing me when I want to read some information or searching a new job. Thank you",3,undetermined,performance_stability
2023-12-19 07:36:33,NickMane444,"I've been doing the verification RIGHT on multiple devices. but it's still says 
""YOUR noCAPTCHA USER RESPONSE CODE IS MISSING OR INVALID""

Yes I've got fast internet connection, yes I've got latest browser & application. Yet I still can't login!",1,dissatisfied,usability_user_experience
2023-12-14 16:25:40,TryptophanPhoenix,It often lags when I use LinkedIn app on iPhone.,3,undetermined,performance_stability
2023-12-10 11:45:49,Zilanxyz,"Terlalu banyak verifikasi, gak guna",1,dissatisfied,uncategorized
2023-12-06 01:27:15,bibinmilenia,"Its good apps for finding new relation in terms of work, but can you please fix the login process, it took so long time even though i have submit the correct puzzle",3,satisfied,usability_user_experience
2023-12-05 22:10:29,ccccccccrash,"U pro Israel, I rate 1",1,dissatisfied,uncategorized
2023-12-05 17:42:16,Asepgun 46,"Sampah banget linkedin, gampang banget di jebolnya sama hacker. Giliran mau komplain susah banget!!!",1,dissatisfied,uncategorized
2023-12-04 01:28:41,joejoejoejo222,job posting page so laggy and un responsive,3,undetermined,performance_stability
2023-12-03 03:02:25,Mfthr Rzak,Gak bisa login eror dari aplikasi chapta,1,dissatisfied,usability_user_experience
2023-11-30 02:03:43,dhanniec18,Not fear because rasis if any news true form palestine,1,dissatisfied,uncategorized
2023-11-29 09:43:51,Normanganto,"Hi Linkedin, please fix it. using iphone 13 mini and when I click my picture, the sliding menu shows up but it freezes, every single time",3,undetermined,performance_stability
2023-11-28 14:26:48,seronaaaaaaaaaaaaaaaaaaaaaa,Please fix the captcha,1,dissatisfied,uncategorized
2023-11-24 11:50:30,aryakkkkuyaak,login aja repott,1,dissatisfied,usability_user_experience
2023-11-21 16:55:41,y1033,"just wondering company like LinkedIn must have challenging interview questions for new candidates, but seriously your chat feature seems buggy. Sometimes I found duplications on the chat thread",1,dissatisfied,performance_stability
2023-11-12 03:20:32,Rifky Manuel,"LinkedIn is so buggy and slow and makes my phone very hot while using.

I have a iPhone 13.",3,undetermined,performance_stability
2023-11-06 04:51:11,Nurohmani,"Gambar 1-4 berhasil giliran ke 5 gagal, sulit nya kaya nyari kerjaan yang sesuai passion",1,dissatisfied,uncategorized
2023-11-03 15:36:35,Eko sap,I hate the update where I can’t save the content to my device. Such a pity.,1,dissatisfied,uncategorized
2023-11-02 04:01:59,masdeniz,"job search is horrible. the filter buttons either do not work at all or changes bunch of irrelevant filters along with them. saving jobs is too slow, you have to wait at least few seconds to see that the job is actually saved.
unexpectedly low quality app from linkedin",2,dissatisfied,performance_stability
2023-10-25 05:48:59,Romi88ful,"The apps running so slow and lame when you searching for a job, what a shame ! Please fix it !",1,dissatisfied,performance_stability
2023-10-25 05:16:22,rindarma,baru kli ini captcha aja susahbgt kek ujian,1,dissatisfied,uncategorized
2023-10-23 07:50:52,Ajdvwiz shsn,Why my acc got logout and when i try to login it hard ? Fck you bstard,1,dissatisfied,usability_user_experience
2023-09-20 12:01:02,Rigennartha,Memudahkan untuk mencari referensi dan pekerjaan,5,satisfied,uncategorized
2023-09-19 05:50:12,xapmes,"Please QA team check the login phase when choosing corect way up, do you already test this??? already choosing corect pic but it looping looping looping looping and login phase failed in Iphone 12 iOS 16 

This is very stupid bro 🙅🏿",1,dissatisfied,usability_user_experience
2023-09-11 07:14:21,Yoona delia,Aplikasi sangat membantu dalam membangub relasi maupun mencari pekerjaan,5,satisfied,uncategorized
2023-09-10 14:06:32,Nab0202,"Gaga’s login terus karena kendala verifikasi kode captcha. Katanya tidak valid dan tidak diisi, padahal sudah benar sampai puluhan kali cobra",1,dissatisfied,usability_user_experience
2023-09-06 04:00:54,billywino,sangat membantu dalam mencari pekerjaan apalagi untuk Freshgraduate 🙏🏻😇,5,satisfied,performance_stability
2023-09-04 14:55:52,Alwiahdi,"I'm on iOS 14, can't use the app because of alert pop up ""get our latest app""",1,dissatisfied,uncategorized
2023-09-04 08:17:35,akbarkay,Sangat membantu bagi freshgraduate yg mencari kerja,5,satisfied,uncategorized
2023-09-01 06:53:52,gitanels,"ini kenapa si kok jadi veritifikasi gambar terus, giliran log in di website bisa, di aplikasi ga bisa tolong troublenya dibenerin dong",1,dissatisfied,usability_user_experience
2023-08-30 09:31:22,hugehydra,"Tolong dong LinkedIn untuk login nya dipergampang, ini verifikasi gambar mulu tapi ga masuk ke akun saya",1,dissatisfied,usability_user_experience
2023-08-19 07:32:37,bbbelijn,aplikasinya jelek ke banned trs!!!!,1,dissatisfied,uncategorized
2023-08-15 04:20:04,Imelda Patricia,"Aplikasi yang sangat bermanfaat bagi saya untuk membangun personal branding dan menambah koneksi. Saya mendapat kesempatan mengenai lowongan pekerjaan dan akses terhadap pembelajaran, kemitraan, hingga mentor. Setiap mahasiswa harus memiliki aplikasi ini.",5,satisfied,uncategorized
2023-08-10 08:33:15,sniia,I never receive the otp on my phone pls fix it,1,dissatisfied,uncategorized
2023-08-10 07:36:21,allesandroya,"I have an issue with my login, I don’t remember I turn on the login authenticator to my account, then I got stuck in the authenticator pop up that wants me to write the code using authenticator app, neither SMS nor Authenticator app code received from my phone, I submitted my ID to recover my account but its been 3 days an no respond at all !!",2,dissatisfied,usability_user_experience
2023-08-09 14:25:27,vvvvvoyp,"Latest update makes me can not log in to my account.
Already to ro reset password, it also request to my old phone number.
Try to reset again, but it is like circularity. Back again to reset password.",1,dissatisfied,usability_user_experience
2023-08-07 19:45:04,Dham06,"Can’t log in into my account because whenever it send a code to my iphone cellular number, i never receive it. I’ve been trying so hard to receive the code in many ways, but it seems impossible. I guess, there is a bux or something that only can handled by linked in itself. Please help, really need to log in to my account asap. thankyou",1,dissatisfied,usability_user_experience
2023-08-07 03:06:14,taraswetlana,"Can not log in to my profile even though the captcha is correct, it’s always show captcha missing or invalid !!!",1,dissatisfied,usability_user_experience
2023-08-04 10:26:38,beulux,"Dear Team from this platform 

I don’t f* know what’s going on with your platform guys, my old account being restricted without reason and I already submit the National ID CARD for verification and it’s already a month I didn’t get the answer from yours.

Also I open new account with my 3rd email using for 2 days only and suddenly log out automatically when I log In to the f* verify system from yours I can’t Log In and my 2 account with only 5 followers of mine being restricted without any reason… What the hell man, come on.. you guys force to pay your platform higher? the f* with you,, don’t be such an idiot.. do your good job to help others.",1,dissatisfied,usability_user_experience
2023-08-04 05:34:52,Zephyrus1291,"Since mid-July the mobile app for iOS cannot give proper login to its users. Whenever I signed in, it always reroutes to the web page security confirmation requesting me to open the app for confirming it's me to login. Either that or, requesting me to input a captcha and confirmed that I have completed it, only to say that the captcha was incorrect. OR, the login in the app rerouted into a browser login page with unsymetric screen size. What in the hell have you guys been doing with the app? Might as well just delete this app if you are not willing to do anything anyway. Smfh",1,dissatisfied,usability_user_experience
2023-08-03 03:55:42,Kuncoro87,"Can't type any words, please fix it",1,dissatisfied,uncategorized
2023-07-31 10:06:54,Indahagustinaaa,"Aplikasi nya bagus, saat ada kendala respon mimin nya juga cepet baget. Keren✨",5,satisfied,uncategorized
2023-07-29 12:27:21,umr100000,"Pleas linkedin help.
My account is temporarily restricted, I have verified it using an identity card according to the instructions, but why is the process taking so long until now my account cannot be used and there is no clarity, I am very disappointed because I built my LinkedIn account from zero to almost professional but LinkedIn no clarity",1,dissatisfied,customer_support_communication
2023-07-27 14:31:14,joko wibowo,"dear linkedin
linkedin version 9.1.235 cannot upload document  from file on ios 15.7.8 iphone 6s. please fix it",1,dissatisfied,uncategorized
2023-07-26 23:22:19,ryankoto,What the hack your application can’t login btw,1,dissatisfied,usability_user_experience
2023-07-25 14:41:27,wididiw15,Capta correct but always load again and again,3,undetermined,uncategorized
2023-07-22 05:12:09,1ndrax,"With the latest version 9.1.324 on my iPhone XS Max I still cannot login after trying captcha verification, below the picture said that I am a human, but on top there is message “Your noCAPTCHA user response code is missing or invalid.” Please fix it!",1,dissatisfied,usability_user_experience
2023-07-21 00:42:18,whvtever00,I have been stuck for “Access to you account has been temporarily restricted” for over 2 weeks! Linkedin don’t have the customer services.. its all just a template of the frequently asked questions.. even when i sent an email it took them like forever and still like chat with a bot. after all this time there is no solution for my problem.,1,dissatisfied,customer_support_communication
2023-07-11 09:05:47,Stfukk,"keep asking to enter nickname while there’s no space for nickname available

Ending up with recovery account
But it create a new account instead of recovering it
I lost all of my jobs onformation 
Useless",1,dissatisfied,uncategorized
2023-07-07 06:07:00,Andi Ahmad pasanrangi,Sangat bagus dan mempermudah untuk mencari pekerjaan,5,satisfied,uncategorized
2023-07-01 20:44:51,minji22072000,rate limit exceeded? a big joke,1,dissatisfied,uncategorized
2023-06-27 11:29:43,BrianPratamaPutra,Nice & Recomended,5,satisfied,uncategorized
2023-06-21 09:41:21,kieran_yusnie,Nice & Recommended,5,satisfied,general_satisfaction_recommendation
2023-06-07 04:32:55,Yoppi.R,"Halo, kenapa saya tidak bisa mengedit profil dan pengalaman kerja saya?
Sudah di coba beberapa kali tetap yang muncul refresh halaman",2,dissatisfied,uncategorized
2023-05-31 19:19:47,Alfie Ramadhan,I can’t upload a video on my post! Help!,4,satisfied,customer_support_communication
2023-05-29 11:30:08,sherlydafitria,Bad app ever! I can’t post job posts. Very bad.,1,dissatisfied,uncategorized
2023-05-24 06:30:01,Rahmat Kristanto,CAN’T LOGIN BECAUSE THIS STUPID CAPTCHA ALWAYS WRONG!!! PLEASE FIX LA STUPID!,1,dissatisfied,usability_user_experience
2022-09-30 16:28:52,ydidar,"verifikasinya ribet,, 👎",1,dissatisfied,uncategorized
2022-09-17 10:49:48,dumbpotatoo,"I’m having trouble with the security sign up, always fails near success login",2,dissatisfied,usability_user_experience
2021-09-02 02:00:58,luqmanharies,Soo I must buy new iphone to acces new update in my phone?,1,dissatisfied,uncategorized
2021-08-25 09:12:50,agsjsidjd,"Kecewa sekali, verifikasi login sangat sulit sudah coba berkali kali pilih gambar yg memghadap ke atas namun selalu salah. Mempersulit pengguna",1,dissatisfied,usability_user_experience
2020-11-05 03:33:25,falderont,"I love the new ui design, but it would better if there is a dark mode.",5,satisfied,usability_user_experience
2020-10-28 04:00:49,pelanggankecewaaaaaaa,"Come on linkedin, its useless to have story inside linkedin",1,dissatisfied,features_functionality
2019-05-06 12:59:45,Ayu bayu,"I've been using this app since many year but now I can't login to my account, I have tried so many times and it's not working.
The user name and password are correct but it's doesn't work out.",1,dissatisfied,usability_user_experience
2019-01-22 01:05:11,whitecirrus,"when I send the notes with personalize invite features, I couldn’t see my notes after  I see them on ‘sent’ (in my connection). Also there’s no tab that I can go to back to home/connection/message in the footbar, when I saw the profile of linkediners.",3,undetermined,features_functionality
2018-12-31 10:30:47,lansbrahmantyo,"The user interface & graphics could be made more fluid & more Apple-like. It is very stiff, feeling like a Blackberry app. And accessing Photo Albums (within Photos) is painfully slow!!!",3,undetermined,usability_user_experience
2018-11-20 05:29:27,fyason,Good but better if able to download video from Linkedin app in iPhone. And please kindly filter the fake account that able to do scams/fraud.,4,satisfied,features_functionality
2018-11-15 04:35:58,LightingSon,Can you hide update notification for uncompatible phone ?,3,undetermined,uncategorized
2017-11-17 16:23:46,Athinov,I love it,5,satisfied,general_satisfaction_recommendation
2017-09-15 22:57:57,Juniantosalim,So far it is the best application for professional social media and job seeker #1,5,satisfied,general_satisfaction_recommendation
